1 TANGERINE FRUIT _39 PINEAPPLE CREAM VERBENA _118 FINISH FLAVORS GLIDE STYLE ALMOND                 
2 BLACKBERRY FRUIT _29 PLUM _101 FINISH CHARMING DEPTH STYLE _414                   
3 BLACKBERRY FRUIT PLUM CORE SOLID FINISH GREAT CONSISTENT ECHO JUICINESS CEDAR CHALK MINERAL                
4 CURRANT PLUM DAMSON RED FINISH AMPLE GREAT DEFINED FLAVORS GOOD LENGTH MODEST _305 SANGUINE STYLE TAUT CEDAR SANDALWOOD           
5 _10 BLACKBERRY RASPBERRY FRUIT PLUM CORE FINISH GREAT BRIGHT DEFINED EXCELLENT GRIP RACY SUCCULENT MINERAL              
6 _10 BLACKBERRY FRUIT PLUM LEAF CORE _128 FINISH ACCENTS GREAT LOVELY VELVET TOBACCO CHARCOAL LOAM              
7 _10 BLACKBERRY FRUIT PLUM ANISE CORE _128 FINISH AMPLE GREAT BRIGHT BROAD DELIVERS LOAM MENTHOL              
8 BLACKBERRY PLUM CORE FINISH GREAT BROAD CONSISTENT LUSH GANACHE ESPRESSO LOAM                  
9 BLACKBERRY CURRANT FRUIT PLUM FIG FINISH GREAT DEFINED GOOD JUICINESS REFINED TOBACCO CEDAR CHARCOAL               
10 _10 BLACKBERRY RASPBERRY LICORICE FINISH GREAT FLOWING GORGEOUS LADEN LONG REFINED SILKY WARM MESQUITE TEA SANDALWOOD IRON            
11 ORANGE FRUIT PLUM PEAR PEACH MANGO HONEYSUCKLE _118 GREAT BITTER EXPRESSIVE FLAVORS ALMOND                
12 ORANGE PERSIMMON PEACH MANGO CORE SOLID FINISH GREAT FLAVORS JUICINESS LACED ALMOND                 
13 ORANGE PEACH MANGO FINISH GREAT FLAVORS JUICINESS NICE RICH MARZIPAN TOAST                  
14 _39 PINEAPPLE HONEYSUCKLE BEAM GREAT GOOD POLISH PRETTY RANGE HONEY                   
15 PEACH MANGO GINGER CORE FINISH INTENSE GREAT BROAD FLAVORS ALMOND HAZELNUT                  
16 APPLE PLUM PEACH PINEAPPLE HONEYSUCKLE WHITE YELLOW FINISH GREAT BRIGHT FLAVORS FRESH                 
17 ORANGE TANGERINE PEACH CREAM GINGER WHITE FINISH ACCENTS BALANCE GREAT CUT MUSCLE RANGE MARZIPAN PIECRUST              
18 FIG RAISIN CREAM GINGER DENSE _133 GREAT BROAD LONG ALMOND PIECRUST                  
19 CITRUS PEACH PINEAPPLE MANGO GINGER CORE WHITE FINISH GREAT BITTER CUT FLAVORS LUSH NICE VIBRANT SUPERB TERRIFIC ALMOND           
20 ORANGE PERSIMMON PEAR FIG CREAM GINGER FINISH GREAT DEPTH FLAVORS LACED POWER STYLE HONEY               
21 GUAVA PEAR MANGO _56 FIG CREAM FINISH GREAT FLAMBOYANT FLAVORS LUSH ALMOND                 
22 FRUIT APRICOT PEACH MELON CREAM GINGER FINISH GREAT POWER LONG POLISH HONEY MARZIPAN                
23 FRUIT APPLE PLUM PEACH MANGO HONEYSUCKLE WHITE YELLOW GREAT FLAVORS PURE RANGE RICH                
24 ORANGE FRUIT _39 PEACH PINEAPPLE HONEYSUCKLE WHITE GREAT FLAVORS PURE RACY STYLE                 
25 GRAPEFRUIT LEMON FRUIT PERSIMMON PLUM HONEYSUCKLE FINISH GREAT BRIGHT DISTINCT LACED LIVELY SWEET ALMOND QUININE              
26 PEACH MANGO CREAM GINGER FINISH ACCENTS GREAT FOCUSED STYLE SUBTLE ALMOND MARZIPAN                 
27 CITRUS FRUIT PERSIMMON PEACH QUINCE FIG FLORAL CORE WHITE FINISH GREAT CUT DETAILED DRIVE FLAVORS LAYER POWER LONG MOUTHWATERING RICH SUPERB WARM ALMOND HONEY PIECRUST ROASTED   
28 APRICOT NECTARINE PEACH GINGER FINISH GREAT FLAVORS GOOD JUICINESS LACED RICH WARM HONEY PIECRUST               
29 FRUIT _39 MELON PINEAPPLE BRIOCHE CREAM FRAME FINISH GREAT BROAD FLATTERING FLAVORS LOVELY ALMOND MACADAMIA_NUT              
30 ORANGE MARMALADE APRICOT PINEAPPLE FIG FINISH GREAT EXOTIC LONG ALMOND                   
31 APPLE PEACH FIG SPICE GINGER FINISH GREAT BROAD FLAVORS RIPE STYLE ALMOND PIECRUST                
